runtime,endpoint,run,requests_per_sec,avg_latency_ms,p99_latency_ms,timeout_errors
frankenphp,db,1,118.66,837.69,1330,0
frankenphp,health,1,115.69,852.95,1810,0
frankenphp,static,1,102.64,959.33,2040,0
frankenphp,cpu,1,104.98,935.94,1710,0
frankenphp,db,2,95.24,1090,4360,30
frankenphp,health,2,112.10,880.05,1250,0
frankenphp,static,2,101.86,969.42,2200,0
frankenphp,cpu,2,118.27,838.48,2050,0
frankenphp,db,3,117.64,852.32,2070,0
frankenphp,health,3,128.45,780.93,1840,0
frankenphp,static,3,158.34,629.21,1200,0
frankenphp,cpu,3,140.19,705.64,1630,0
swoole,db,1,156.54,689.44,2790,0
swoole,health,1,127.91,859.11,3230,0
swoole,static,1,165.00,700.50,3000,0
swoole,cpu,1,148.33,727.56,2420,0
swoole,db,2,168.03,678.46,3120,0
swoole,health,2,187.44,609.63,2300,0
swoole,static,2,173.16,743.56,4010,0
swoole,cpu,2,136.38,828.94,3380,15
swoole,db,3,128.79,857.79,3490,0
swoole,health,3,156.06,735.12,2790,0
swoole,static,3,118.97,1000,4190,24
swoole,cpu,3,165.12,686.81,2820,0
openswoole,db,1,128.72,843.91,3120,0
openswoole,health,1,135.81,728.39,3790,47
openswoole,static,1,146.55,676.74,3080,41
openswoole,cpu,1,132.18,837.89,2980,33
openswoole,db,2,155.28,710.12,2700,0
openswoole,health,2,171.74,552.38,2090,50
openswoole,static,2,151.70,655.67,2950,49
openswoole,cpu,2,175.09,680.07,3210,0
openswoole,db,3,137.88,771.52,3390,50
openswoole,health,3,154.46,750.87,3460,0
openswoole,static,3,178.37,680.30,3400,0
openswoole,cpu,3,148.05,748.71,2860,0
roadrunner,db,1,132.54,746.16,1300,0
roadrunner,health,1,171.38,581.53,1210,0
roadrunner,static,1,163.35,619.03,1610,0
roadrunner,cpu,1,151.49,676.69,2280,0
roadrunner,db,2,139.42,710.40,1240,0
roadrunner,health,2,160.07,621.44,1260,0
roadrunner,static,2,147.35,643.38,1400,0
roadrunner,cpu,2,86.92,1070,4340,15
roadrunner,db,3,137.31,722.51,1370,0
roadrunner,health,3,162.94,611.58,1220,0
roadrunner,static,3,154.58,638.76,1300,0
roadrunner,cpu,3,130.10,842.05,4170,50
nginx-fpm,db,1,87.87,1110,1600,0
nginx-fpm,health,1,102.34,963.02,2150,0
nginx-fpm,static,1,117.48,851.75,2080,0
nginx-fpm,cpu,1,132.35,750.04,1450,0
nginx-fpm,db,2,93.74,1040,2160,0
nginx-fpm,health,2,113.37,874.84,1420,0
nginx-fpm,static,2,101.81,968.31,1430,0
nginx-fpm,cpu,2,98.65,991.21,1520,0
nginx-fpm,db,3,102.06,970.66,1460,0
nginx-fpm,health,3,107.48,909.03,1430,0
nginx-fpm,static,3,118.44,827.15,1380,0
nginx-fpm,cpu,3,105.32,942.26,1820,0
ephpm,db,1,139.12,712.90,1350,0
ephpm,health,1,122.26,800.04,1420,0
ephpm,static,1,118.94,822.22,1430,0
ephpm,cpu,1,128.15,763.43,1440,0
ephpm,db,2,90.14,1230,4600,5
ephpm,health,2,129.40,757.01,1340,0
ephpm,static,2,103.59,944.21,1470,0
ephpm,cpu,2,119.14,821.78,1400,0
ephpm,db,3,104.88,944.47,1460,0
ephpm,health,3,123.75,801.71,1400,0
ephpm,static,3,127.40,762.26,1390,0
ephpm,cpu,3,91.93,1150,4290,3
ephpm-worker,db,1,100.50,1030,3450,2
ephpm-worker,health,1,97.63,1010,2470,0
ephpm-worker,static,1,99.72,1040,4220,10
ephpm-worker,cpu,1,134.54,745.55,1730,0
ephpm-worker,db,2,104.79,946.79,2440,0
ephpm-worker,health,2,133.05,751.10,1780,0
ephpm-worker,static,2,135.48,758.85,2470,0
ephpm-worker,cpu,2,132.46,750.91,1770,0
ephpm-worker,db,3,127.47,818.69,2350,0
ephpm-worker,health,3,101.51,979.96,2320,0
ephpm-worker,static,3,134.96,742.47,2260,0
ephpm-worker,cpu,3,113.40,898.04,2710,0
