runtime,endpoint,runs,avg_requests_per_sec,stddev_requests_per_sec,min_requests_per_sec,max_requests_per_sec,avg_latency_ms,avg_p99_latency_ms,max_p99_latency_ms,total_timeout_errors
ephpm,cpu,3,113.07,18.86,91.93,128.15,911.74,2376.67,4290.00,3
ephpm,db,3,111.38,25.13,90.14,139.12,962.46,2470.00,4600.00,5
ephpm,health,3,125.14,3.77,122.26,129.40,786.25,1386.67,1420.00,0
ephpm,static,3,116.64,12.07,103.59,127.40,842.90,1430.00,1470.00,0
ephpm-worker,cpu,3,126.80,11.65,113.40,134.54,798.17,2070.00,2710.00,0
ephpm-worker,db,3,110.92,14.49,100.50,127.47,931.83,2746.67,3450.00,2
ephpm-worker,health,3,110.73,19.43,97.63,133.05,913.69,2190.00,2470.00,0
ephpm-worker,static,3,123.39,20.50,99.72,135.48,847.11,2983.33,4220.00,10
frankenphp,cpu,3,121.15,17.78,104.98,140.19,826.69,1796.67,2050.00,0
frankenphp,db,3,110.51,13.24,95.24,118.66,926.67,2586.67,4360.00,30
frankenphp,health,3,118.75,8.59,112.10,128.45,837.98,1633.33,1840.00,0
frankenphp,static,3,120.95,32.39,101.86,158.34,852.65,1813.33,2200.00,0
nginx-fpm,cpu,3,112.11,17.85,98.65,132.35,894.50,1596.67,1820.00,0
nginx-fpm,db,3,94.56,7.13,87.87,102.06,1040.22,1740.00,2160.00,0
nginx-fpm,health,3,107.73,5.52,102.34,113.37,915.63,1666.67,2150.00,0
nginx-fpm,static,3,112.58,9.34,101.81,118.44,882.40,1630.00,2080.00,0
openswoole,cpu,3,151.77,21.70,132.18,175.09,755.56,3016.67,3210.00,33
openswoole,db,3,140.63,13.49,128.72,155.28,775.18,3070.00,3390.00,50
openswoole,health,3,154.00,17.97,135.81,171.74,677.21,3113.33,3790.00,97
openswoole,static,3,158.87,17.08,146.55,178.37,670.90,3143.33,3400.00,90
roadrunner,cpu,3,122.84,32.89,86.92,151.49,862.91,3596.67,4340.00,65
roadrunner,db,3,136.42,3.52,132.54,139.42,726.36,1303.33,1370.00,0
roadrunner,health,3,164.80,5.88,160.07,171.38,604.85,1230.00,1260.00,0
roadrunner,static,3,155.09,8.01,147.35,163.35,633.72,1436.67,1610.00,0
swoole,cpu,3,149.94,14.44,136.38,165.12,747.77,2873.33,3380.00,15
swoole,db,3,151.12,20.17,128.79,168.03,741.90,3133.33,3490.00,0
swoole,health,3,157.14,29.78,127.91,187.44,734.62,2773.33,3230.00,0
swoole,static,3,152.38,29.22,118.97,173.16,814.69,3733.33,4190.00,24
