runtime,endpoint,run,requests_per_sec,avg_latency_ms,p99_latency_ms,timeout_errors
frankenphp,db,1,1289.87,77.44,90.05,0
frankenphp,health,1,1915.33,52.16,55.95,0
frankenphp,static,1,1889.84,52.86,58.14,0
frankenphp,cpu,1,1853.53,53.88,63.24,0
frankenphp,db,2,1261.86,79.11,89.25,0
frankenphp,health,2,1896.14,52.74,59.88,0
frankenphp,static,2,1815.61,55.00,63.89,0
frankenphp,cpu,2,1805.92,55.29,66.06,0
frankenphp,db,3,1279.15,78.05,90.42,0
frankenphp,health,3,1801.27,55.43,73.48,0
frankenphp,static,3,1884.40,53.14,60.97,0
frankenphp,cpu,3,1863.83,53.58,61.86,0
swoole,db,1,923.85,123.22,630.43,0
swoole,health,1,1002.38,122.05,514.03,0
swoole,static,1,1698.54,60.04,137.69,0
swoole,cpu,1,1692.08,60.09,136.35,0
swoole,db,2,1013.22,100.57,262.16,0
swoole,health,2,1534.34,66.90,188.94,0
swoole,static,2,1621.04,62.83,147.75,0
swoole,cpu,2,1619.89,62.74,141.88,0
swoole,db,3,1221.11,82.72,185.70,0
swoole,health,3,1725.99,59.32,145.63,0
swoole,static,3,1678.19,60.96,142.43,0
swoole,cpu,3,1683.74,60.87,150.89,0
openswoole,db,1,1248.48,80.16,163.77,0
openswoole,health,1,1192.89,91.35,345.13,0
openswoole,static,1,1232.80,96.51,440.26,0
openswoole,cpu,1,1367.05,75.40,233.06,0
openswoole,db,2,984.40,104.01,284.76,0
openswoole,health,2,1691.72,60.30,138.46,0
openswoole,static,2,1644.87,61.89,141.82,0
openswoole,cpu,2,1632.84,62.32,142.56,0
openswoole,db,3,1170.13,85.57,180.44,0
openswoole,health,3,1679.91,60.73,141.10,0
openswoole,static,3,1741.38,58.57,134.75,0
openswoole,cpu,3,1650.71,61.68,142.35,0
roadrunner,db,1,946.20,113.32,319.90,0
roadrunner,health,1,1250.95,87.28,277.94,0
roadrunner,static,1,1181.89,84.72,147.16,0
roadrunner,cpu,1,1193.14,83.89,132.67,0
roadrunner,db,2,836.15,125.79,379.03,0
roadrunner,health,2,1222.45,92.72,290.56,0
roadrunner,static,2,1137.32,91.55,291.07,0
roadrunner,cpu,2,984.49,106.82,320.53,0
roadrunner,db,3,913.93,110.26,280.01,0
roadrunner,health,3,1227.00,90.07,284.12,0
roadrunner,static,3,1212.73,91.70,284.76,0
roadrunner,cpu,3,1183.74,93.50,286.46,0
nginx-fpm,db,1,552.66,180.30,202.73,0
nginx-fpm,health,1,746.96,151.20,850.75,0
nginx-fpm,static,1,835.87,119.38,137.19,0
nginx-fpm,cpu,1,791.56,126.04,162.59,0
nginx-fpm,db,2,521.35,191.13,238.50,0
nginx-fpm,health,2,856.61,116.51,151.25,0
nginx-fpm,static,2,851.01,117.24,138.33,0
nginx-fpm,cpu,2,837.41,119.15,139.71,0
nginx-fpm,db,3,564.24,176.62,233.30,0
nginx-fpm,health,3,860.40,115.96,131.74,0
nginx-fpm,static,3,869.52,114.78,152.80,0
nginx-fpm,cpu,3,848.34,117.63,143.27,0
ephpm,db,1,465.77,213.92,407.56,0
ephpm,health,1,815.45,122.37,160.25,0
ephpm,static,1,833.48,119.73,154.52,0
ephpm,cpu,1,838.10,119.06,147.84,0
ephpm,db,2,553.06,180.28,259.80,0
ephpm,health,2,899.45,110.97,125.31,0
ephpm,static,2,777.59,128.28,151.87,0
ephpm,cpu,2,797.38,125.13,170.13,0
ephpm,db,3,573.97,173.65,195.70,0
ephpm,health,3,816.57,122.22,131.90,0
ephpm,static,3,804.38,124.07,146.60,0
ephpm,cpu,3,792.87,125.83,147.41,0
ephpm-worker,db,1,1450.54,68.89,79.60,0
ephpm-worker,health,1,2178.67,45.84,65.35,0
ephpm-worker,static,1,2073.06,48.18,66.07,0
ephpm-worker,cpu,1,2050.28,48.72,69.91,0
ephpm-worker,db,2,1488.08,67.12,72.53,0
ephpm-worker,health,2,2221.14,45.10,56.01,0
ephpm-worker,static,2,2167.35,46.09,65.46,0
ephpm-worker,cpu,2,2187.56,45.66,53.99,0
ephpm-worker,db,3,1515.00,65.91,70.24,0
ephpm-worker,health,3,2260.56,44.19,57.13,0
ephpm-worker,static,3,2201.47,45.45,66.60,0
ephpm-worker,cpu,3,2207.75,45.24,59.89,0
