runtime,endpoint,round,rps,avg_ms,p50_ms,p75_ms,p90_ms,p99_ms,requests,timeouts
ephpm,health,1,815.5,122.37,120.37,128.43,135.77,160.25,24491,0
ephpm,static,1,833.5,119.73,116.54,123.09,132.07,154.52,25033,0
ephpm,cpu,1,838.1,119.06,117.18,121.15,128.51,147.84,25174,0
ephpm,db,1,465.8,213.92,179.63,207.79,355.21,407.56,13993,0
ephpm,health,2,899.5,110.97,110.32,112.27,115.58,125.31,27015,0
ephpm,static,2,777.6,128.28,127.83,135.5,141.22,151.87,23356,0
ephpm,cpu,2,797.4,125.13,123.28,127.74,134.26,170.13,23952,0
ephpm,db,2,553.1,180.28,177.21,185.53,198.04,259.8,16612,0
ephpm,health,3,816.6,122.22,122.08,124.78,127.37,131.9,24520,0
ephpm,static,3,804.4,124.07,123.26,126.25,130.88,146.6,24159,0
ephpm,cpu,3,792.9,125.83,124.79,128.69,133.15,147.41,23814,0
ephpm,db,3,574.0,173.65,173.12,177.67,182.94,195.7,17243,0
ephpm-worker,health,1,2178.7,45.84,45.04,45.93,47.54,65.35,65439,0
ephpm-worker,static,1,2073.1,48.18,46.5,48.94,54.22,66.07,62262,0
ephpm-worker,cpu,1,2050.3,48.72,46.98,48.38,52.44,69.91,61569,0
ephpm-worker,db,1,1450.5,68.89,68.13,69.55,71.82,79.6,43564,0
ephpm-worker,health,2,2221.1,45.1,44.7,45.43,46.44,56.01,66693,0
ephpm-worker,static,2,2167.3,46.09,45.47,46.2,47.39,65.46,65081,0
ephpm-worker,cpu,2,2187.6,45.66,45.37,46.07,47.0,53.99,65692,0
ephpm-worker,db,2,1488.1,67.12,66.94,67.66,68.67,72.53,44688,0
ephpm-worker,health,3,2260.6,44.19,43.97,44.46,45.1,57.13,67885,0
ephpm-worker,static,3,2201.5,45.45,44.6,45.32,46.4,66.6,66118,0
ephpm-worker,cpu,3,2207.8,45.24,44.93,45.6,46.39,59.89,66296,0
ephpm-worker,db,3,1515.0,65.91,65.79,66.43,67.11,70.24,45492,0
frankenphp,health,1,1915.3,52.16,51.69,52.82,53.76,55.95,57512,0
frankenphp,static,1,1889.8,52.86,52.33,53.16,54.69,58.14,56744,0
frankenphp,cpu,1,1853.5,53.88,53.19,54.38,55.93,63.24,55660,0
frankenphp,db,1,1289.9,77.44,76.61,78.21,80.84,90.05,38737,0
frankenphp,health,2,1896.1,52.74,52.31,53.4,54.51,59.88,56929,0
frankenphp,static,2,1815.6,55.0,54.47,55.76,57.21,63.89,54527,0
frankenphp,cpu,2,1805.9,55.29,54.72,56.0,57.67,66.06,54253,0
frankenphp,db,2,1261.9,79.11,78.44,80.18,82.46,89.25,37902,0
frankenphp,health,3,1801.3,55.43,54.32,57.48,61.35,73.48,54111,0
frankenphp,static,3,1884.4,53.14,52.49,53.61,54.74,60.97,56588,0
frankenphp,cpu,3,1863.8,53.58,52.91,54.1,55.83,61.86,55982,0
frankenphp,db,3,1279.2,78.05,77.22,79.15,81.52,90.42,38412,0
nginx-fpm,health,1,747.0,151.2,121.99,128.42,145.02,850.75,22432,0
nginx-fpm,static,1,835.9,119.38,118.15,121.38,124.94,137.19,25103,0
nginx-fpm,cpu,1,791.6,126.04,121.5,131.99,142.55,162.59,23772,0
nginx-fpm,db,1,552.7,180.3,179.33,184.35,189.91,202.73,16601,0
nginx-fpm,health,2,856.6,116.51,114.12,118.08,124.74,151.25,25725,0
nginx-fpm,static,2,851.0,117.24,116.32,118.29,120.73,138.33,25561,0
nginx-fpm,cpu,2,837.4,119.15,117.84,120.02,124.01,139.71,25147,0
nginx-fpm,db,2,521.4,191.13,187.04,198.67,213.15,238.5,15661,0
nginx-fpm,health,3,860.4,115.96,114.3,117.44,122.28,131.74,25845,0
nginx-fpm,static,3,869.5,114.78,112.53,114.88,123.84,152.8,26114,0
nginx-fpm,cpu,3,848.3,117.63,115.02,118.89,127.51,143.27,25480,0
nginx-fpm,db,3,564.2,176.62,173.41,179.18,189.01,233.3,16952,0
openswoole,health,1,1192.9,91.35,60.23,120.4,167.61,345.13,35833,0
openswoole,static,1,1232.8,96.51,64.78,107.66,203.0,440.26,37031,0
openswoole,cpu,1,1367.0,75.4,66.03,79.92,124.94,233.06,41060,0
openswoole,db,1,1248.5,80.16,73.16,74.41,82.0,163.77,37499,0
openswoole,health,2,1691.7,60.3,52.09,53.72,75.46,138.46,50810,0
openswoole,static,2,1644.9,61.89,53.14,55.99,77.22,141.82,49399,0
openswoole,cpu,2,1632.8,62.32,54.01,56.01,78.86,142.56,49040,0
openswoole,db,2,984.4,104.01,79.17,115.83,170.96,284.76,29566,0
openswoole,health,3,1679.9,60.73,52.15,54.43,77.9,141.1,50459,0
openswoole,static,3,1741.4,58.57,51.09,52.21,73.24,134.75,52296,0
openswoole,cpu,3,1650.7,61.68,53.37,55.98,78.14,142.35,49574,0
openswoole,db,3,1170.1,85.57,76.47,80.28,107.45,180.44,35143,0
roadrunner,health,1,1251.0,87.28,59.02,95.86,182.33,277.94,37575,0
roadrunner,static,1,1181.9,84.72,68.3,109.97,124.1,147.16,35500,0
roadrunner,cpu,1,1193.1,83.89,69.0,108.48,122.99,132.67,35834,0
roadrunner,db,1,946.2,113.32,84.43,90.67,210.98,319.9,28418,0
roadrunner,health,2,1222.5,92.72,61.17,86.74,203.6,290.56,36717,0
roadrunner,static,2,1137.3,91.55,69.5,109.85,131.86,291.07,34156,0
roadrunner,cpu,2,984.5,106.82,73.98,124.92,198.27,320.53,29566,0
roadrunner,db,2,836.1,125.79,94.78,116.46,224.84,379.03,25115,0
roadrunner,health,3,1227.0,90.07,60.71,92.44,191.47,284.12,36861,0
roadrunner,static,3,1212.7,91.7,62.03,87.69,197.55,284.76,36424,0
