sequence,round,runtime,endpoint_order
1,1,frankenphp,db|health|static|cpu
2,1,swoole,db|health|static|cpu
3,1,openswoole,db|health|static|cpu
4,1,roadrunner,db|health|static|cpu
5,1,nginx-fpm,db|health|static|cpu
6,1,ephpm,db|health|static|cpu
7,1,ephpm-worker,db|health|static|cpu
8,2,swoole,health|static|cpu|db
9,2,openswoole,health|static|cpu|db
10,2,roadrunner,health|static|cpu|db
11,2,nginx-fpm,health|static|cpu|db
12,2,ephpm,health|static|cpu|db
13,2,ephpm-worker,health|static|cpu|db
14,2,frankenphp,health|static|cpu|db
15,3,openswoole,static|cpu|db|health
16,3,roadrunner,static|cpu|db|health
17,3,nginx-fpm,static|cpu|db|health
18,3,ephpm,static|cpu|db|health
19,3,ephpm-worker,static|cpu|db|health
20,3,frankenphp,static|cpu|db|health
21,3,swoole,static|cpu|db|health
