runtime,endpoint,runs,avg_requests_per_sec,stddev_requests_per_sec,min_requests_per_sec,max_requests_per_sec,avg_latency_ms,avg_p99_latency_ms,max_p99_latency_ms,total_timeout_errors
ephpm,cpu,3,809.45,24.91,792.87,838.10,123.34,155.13,170.13,0
ephpm,db,3,530.93,57.39,465.77,573.97,189.28,287.69,407.56,0
ephpm,health,3,843.82,48.18,815.45,899.45,118.52,139.15,160.25,0
ephpm,static,3,805.15,27.95,777.59,833.48,124.03,151.00,154.52,0
ephpm-worker,cpu,3,2148.53,85.68,2050.28,2207.75,46.54,61.26,69.91,0
ephpm-worker,db,3,1484.54,32.38,1450.54,1515.00,67.31,74.12,79.60,0
ephpm-worker,health,3,2220.12,40.95,2178.67,2260.56,45.04,59.50,65.35,0
ephpm-worker,static,3,2147.29,66.51,2073.06,2201.47,46.57,66.04,66.60,0
frankenphp,cpu,3,1841.09,30.89,1805.92,1863.83,54.25,63.72,66.06,0
frankenphp,db,3,1276.96,14.13,1261.86,1289.87,78.20,89.91,90.42,0
frankenphp,health,3,1870.91,61.07,1801.27,1915.33,53.44,63.10,73.48,0
frankenphp,static,3,1863.28,41.38,1815.61,1889.84,53.67,61.00,63.89,0
nginx-fpm,cpu,3,825.77,30.13,791.56,848.34,120.94,148.52,162.59,0
nginx-fpm,db,3,546.08,22.19,521.35,564.24,182.68,224.84,238.50,0
nginx-fpm,health,3,821.32,64.43,746.96,860.40,127.89,377.91,850.75,0
nginx-fpm,static,3,852.13,16.85,835.87,869.52,117.13,142.77,152.80,0
openswoole,cpu,3,1550.20,158.86,1367.05,1650.71,66.47,172.66,233.06,0
openswoole,db,3,1134.34,135.63,984.40,1248.48,89.91,209.66,284.76,0
openswoole,health,3,1521.51,284.65,1192.89,1691.72,70.79,208.23,345.13,0
openswoole,static,3,1539.68,270.11,1232.80,1741.38,72.32,238.94,440.26,0
roadrunner,cpu,3,1120.46,117.84,984.49,1193.14,94.74,246.55,320.53,0
roadrunner,db,3,898.76,56.57,836.15,946.20,116.46,326.31,379.03,0
roadrunner,health,3,1233.47,15.31,1222.45,1250.95,90.02,284.21,290.56,0
roadrunner,static,3,1177.31,37.91,1137.32,1212.73,89.32,241.00,291.07,0
swoole,cpu,3,1665.24,39.49,1619.89,1692.08,61.23,143.04,150.89,0
swoole,db,3,1052.73,152.52,923.85,1221.11,102.17,359.43,630.43,0
swoole,health,3,1420.90,374.91,1002.38,1725.99,82.76,282.87,514.03,0
swoole,static,3,1665.92,40.18,1621.04,1698.54,61.28,142.62,147.75,0
