runtime,endpoint,run,requests_per_sec,avg_latency_ms,p99_latency_ms,timeout_errors
ephpm,db,1,688.96,144.72,156.92,0
ephpm,health,1,940.31,106.10,117.96,0
ephpm,static,1,939.09,106.29,113.19,0
ephpm,cpu,1,924.65,107.93,125.48,0
ephpm,db,2,642.60,155.20,195.82,0
ephpm,health,2,934.13,106.87,155.19,0
ephpm,static,2,900.51,110.76,141.64,0
ephpm,cpu,2,895.54,111.37,125.66,0
ephpm,db,3,653.04,152.66,177.37,0
ephpm,health,3,896.65,111.31,131.65,0
ephpm,static,3,929.74,107.38,118.88,0
ephpm,cpu,3,912.04,109.41,119.66,0
ephpm-worker,db,1,1332.71,81.43,305.23,0
ephpm-worker,health,1,2083.54,51.86,182.62,0
ephpm-worker,static,1,2144.62,49.81,164.72,0
ephpm-worker,cpu,1,1964.68,55.09,194.70,0
ephpm-worker,db,2,1488.48,70.19,226.27,0
ephpm-worker,health,2,2244.06,47.78,159.75,0
ephpm-worker,static,2,2246.17,47.67,158.20,0
ephpm-worker,cpu,2,2190.98,49.00,164.06,0
ephpm-worker,db,3,1536.87,67.52,195.98,0
ephpm-worker,health,3,2304.12,45.89,150.83,0
ephpm-worker,static,3,2286.34,46.48,154.16,0
ephpm-worker,cpu,3,2240.22,47.64,157.28,0
