runtime,endpoint,run,requests_per_sec,avg_latency_ms,p99_latency_ms,timeout_errors
nginx-fpm,db,1,569.96,174.89,215.90,0
nginx-fpm,health,1,902.63,110.57,118.91,0
nginx-fpm,static,1,889.51,112.19,124.43,0
nginx-fpm,cpu,1,875.56,113.96,123.74,0
nginx-fpm,db,2,577.36,172.64,182.07,0
nginx-fpm,health,2,916.97,108.84,114.81,0
nginx-fpm,static,2,896.93,111.25,117.87,0
nginx-fpm,cpu,2,891.65,111.92,120.07,0
nginx-fpm,db,3,573.13,173.93,181.37,0
nginx-fpm,health,3,888.97,112.27,122.44,0
nginx-fpm,static,3,902.83,110.52,116.22,0
nginx-fpm,cpu,3,883.39,112.95,118.56,0
ephpm,db,1,724.83,137.63,145.29,0
ephpm,health,1,1026.24,97.27,101.46,0
ephpm,static,1,1010.81,98.70,109.77,0
ephpm,cpu,1,1004.58,99.33,106.31,0
ephpm,db,2,710.63,140.36,147.86,0
ephpm,health,2,1010.48,98.84,103.97,0
ephpm,static,2,997.02,100.10,103.38,0
ephpm,cpu,2,986.57,101.17,114.77,0
ephpm,db,3,721.39,138.24,143.16,0
ephpm,health,3,1028.70,97.03,104.55,0
ephpm,static,3,1022.05,97.71,108.23,0
ephpm,cpu,3,1000.94,99.69,145.23,0
frankenphp-classic,db,1,546.27,182.46,197.85,0
frankenphp-classic,health,1,833.07,119.80,125.13,0
frankenphp-classic,static,1,823.61,121.13,128.10,0
frankenphp-classic,cpu,1,817.25,122.07,127.99,0
frankenphp-classic,db,2,512.14,194.51,223.20,0
frankenphp-classic,health,2,832.72,119.80,126.07,0
frankenphp-classic,static,2,818.43,121.92,127.57,0
frankenphp-classic,cpu,2,809.61,123.23,128.51,0
frankenphp-classic,db,3,531.44,187.50,210.38,0
frankenphp-classic,health,3,828.19,120.50,127.03,0
frankenphp-classic,static,3,833.03,119.80,128.63,0
frankenphp-classic,cpu,3,818.02,121.96,128.75,0
