runtime,endpoint,round,rps,avg_ms,p50_ms,p75_ms,p90_ms,p99_ms,requests,timeouts
ephpm,health,1,1026.2,97.27,97.16,97.73,98.48,101.46,30818,0
ephpm,static,1,1010.8,98.7,98.36,99.01,99.87,109.77,30357,0
ephpm,cpu,1,1004.6,99.33,99.11,99.72,100.99,106.31,30176,0
ephpm,db,1,724.8,137.63,137.72,139.22,140.8,145.29,21770,0
ephpm,health,2,1010.5,98.84,98.69,99.23,99.9,103.97,30349,0
ephpm,static,2,997.0,100.1,100.16,100.57,101.21,103.38,29943,0
ephpm,cpu,2,986.6,101.17,100.89,101.42,102.46,114.77,29632,0
ephpm,db,2,710.6,140.36,140.42,142.28,143.81,147.86,21343,0
ephpm,health,3,1028.7,97.03,96.95,97.45,98.08,104.55,30895,0
ephpm,static,3,1022.0,97.71,97.47,98.01,98.59,108.23,30695,0
ephpm,cpu,3,1000.9,99.69,98.61,99.24,100.08,145.23,30063,0
ephpm,db,3,721.4,138.24,138.58,139.77,140.92,143.16,21669,0
frankenphp-classic,health,1,833.1,119.8,119.18,120.04,121.06,125.13,25018,0
frankenphp-classic,static,1,823.6,121.13,120.58,121.57,122.81,128.1,24739,0
frankenphp-classic,cpu,1,817.2,122.07,121.69,122.6,123.6,127.99,24547,0
frankenphp-classic,db,1,546.3,182.46,182.35,187.74,192.18,197.85,16408,0
frankenphp-classic,health,2,832.7,119.8,119.65,120.51,121.63,126.07,25014,0
frankenphp-classic,static,2,818.4,121.92,121.53,122.39,123.57,127.57,24581,0
frankenphp-classic,cpu,2,809.6,123.23,122.78,123.61,124.87,128.51,24317,0
frankenphp-classic,db,2,512.1,194.51,194.63,201.1,206.93,223.2,15387,0
frankenphp-classic,health,3,828.2,120.5,119.72,120.77,121.98,127.03,24878,0
frankenphp-classic,static,3,833.0,119.8,119.65,120.54,121.87,128.63,25020,0
frankenphp-classic,cpu,3,818.0,121.96,121.57,122.43,123.64,128.75,24570,0
frankenphp-classic,db,3,531.4,187.5,186.04,194.14,199.81,210.38,15968,0
nginx-fpm,health,1,902.6,110.57,109.94,110.87,112.17,118.91,27111,0
nginx-fpm,static,1,889.5,112.19,111.56,112.68,114.12,124.43,26716,0
nginx-fpm,cpu,1,875.6,113.96,113.23,114.4,116.48,123.74,26300,0
nginx-fpm,db,1,570.0,174.89,173.28,176.47,182.22,215.9,17122,0
nginx-fpm,health,2,917.0,108.84,108.74,109.73,111.03,114.81,27543,0
nginx-fpm,static,2,896.9,111.25,110.85,111.83,112.89,117.87,26937,0
nginx-fpm,cpu,2,891.6,111.92,111.41,112.44,114.01,120.07,26782,0
nginx-fpm,db,2,577.4,172.64,171.71,173.8,177.3,182.07,17342,0
nginx-fpm,health,3,889.0,112.27,111.42,112.44,114.06,122.44,26703,0
nginx-fpm,static,3,902.8,110.52,110.48,111.49,112.6,116.22,27117,0
nginx-fpm,cpu,3,883.4,112.95,112.67,113.54,114.52,118.56,26534,0
nginx-fpm,db,3,573.1,173.93,173.39,175.22,177.26,181.37,17217,0
