runtime,endpoint,run,requests_per_sec,avg_latency_ms,p99_latency_ms,timeout_errors
frankenphp,db,1,1327.45,75.29,79.68,0
frankenphp,health,1,1925.77,51.86,55.65,0
frankenphp,static,1,1882.58,53.06,56.50,0
frankenphp,cpu,1,1858.00,53.75,59.98,0
frankenphp,db,2,1284.46,77.74,81.66,0
frankenphp,health,2,1909.43,52.36,55.58,0
frankenphp,static,2,1850.78,53.97,58.26,0
frankenphp,cpu,2,1827.13,54.67,58.39,0
frankenphp,db,3,1315.77,75.89,79.67,0
frankenphp,health,3,1945.85,51.33,54.58,0
frankenphp,static,3,1929.55,51.86,57.31,0
frankenphp,cpu,3,1899.23,52.60,55.84,0
swoole,db,1,1289.85,77.56,157.37,0
swoole,health,1,1795.45,56.72,127.01,0
swoole,static,1,1760.02,57.85,130.90,0
swoole,cpu,1,1739.72,58.48,131.87,0
swoole,db,2,1249.11,80.37,170.78,0
swoole,health,2,1798.40,56.70,127.77,0
swoole,static,2,1762.44,57.78,130.94,0
swoole,cpu,2,1727.26,58.87,132.99,0
swoole,db,3,1258.01,79.62,167.67,0
swoole,health,3,1773.43,57.47,135.22,0
swoole,static,3,1788.33,57.03,128.52,0
swoole,cpu,3,1753.19,58.12,136.07,0
openswoole,db,1,1285.44,77.79,157.27,0
openswoole,health,1,1782.93,57.12,129.77,0
openswoole,static,1,1760.30,57.79,131.06,0
openswoole,cpu,1,1732.03,58.85,137.29,0
openswoole,db,2,1255.07,79.66,162.49,0
openswoole,health,2,1805.65,56.56,127.33,0
openswoole,static,2,1750.01,58.13,130.95,0
openswoole,cpu,2,1725.93,58.84,132.29,0
openswoole,db,3,1250.73,80.58,176.37,0
openswoole,health,3,1770.27,57.73,141.80,0
openswoole,static,3,1774.00,57.47,130.24,0
openswoole,cpu,3,1727.78,58.89,137.43,0
roadrunner,db,1,979.24,104.49,287.16,0
roadrunner,health,1,1291.12,84.38,261.70,0
roadrunner,static,1,1247.35,85.65,274.24,0
roadrunner,cpu,1,1235.26,81.47,176.53,0
roadrunner,db,2,960.94,104.06,166.77,0
roadrunner,health,2,1323.04,78.07,249.62,0
roadrunner,static,2,1249.84,82.50,258.98,0
roadrunner,cpu,2,1224.71,81.73,145.88,0
roadrunner,db,3,958.90,107.54,310.90,0
roadrunner,health,3,1282.81,83.66,269.12,0
roadrunner,static,3,1233.97,82.42,244.32,0
roadrunner,cpu,3,1208.84,83.82,226.25,0
ephpm-worker,db,1,1531.34,65.26,68.17,0
ephpm-worker,health,1,2295.19,43.52,45.43,0
ephpm-worker,static,1,2168.92,46.06,65.76,0
ephpm-worker,cpu,1,2207.49,45.26,62.42,0
ephpm-worker,db,2,1512.67,66.02,68.62,0
ephpm-worker,health,2,2246.42,44.56,62.73,0
ephpm-worker,static,2,2211.43,45.17,64.74,0
ephpm-worker,cpu,2,2233.54,44.72,46.92,0
ephpm-worker,db,3,1517.70,65.81,68.92,0
ephpm-worker,health,3,2262.08,44.17,64.47,0
ephpm-worker,static,3,2260.21,44.31,61.36,0
ephpm-worker,cpu,3,2206.13,45.28,65.20,0
