runtime,endpoint,round,rps,avg_ms,p50_ms,p75_ms,p90_ms,p99_ms,requests,timeouts,non2xx
ephpm-worker,health,1,2295.2,43.52,43.48,43.92,44.34,45.43,68914,0,0
ephpm-worker,static,1,2168.9,46.06,44.32,44.91,48.18,65.76,65129,0,0
ephpm-worker,cpu,1,2207.5,45.26,44.59,45.09,45.62,62.42,66282,0,0
ephpm-worker,db,1,1531.3,65.26,65.21,65.64,66.04,68.17,45990,0,0
ephpm-worker,health,2,2246.4,44.56,43.57,44.1,44.7,62.73,67471,0,0
ephpm-worker,static,2,2211.4,45.17,44.37,44.93,45.42,64.74,66408,0,0
ephpm-worker,cpu,2,2233.5,44.72,44.61,45.09,45.57,46.92,67082,0,0
ephpm-worker,db,2,1512.7,66.02,66.04,66.38,66.76,68.62,45427,0,0
ephpm-worker,health,3,2262.1,44.17,43.22,43.74,44.38,64.47,67925,0,0
ephpm-worker,static,3,2260.2,44.31,43.61,44.13,44.65,61.36,67870,0,0
ephpm-worker,cpu,3,2206.1,45.28,44.3,44.88,45.86,65.2,66247,0,0
ephpm-worker,db,3,1517.7,65.81,65.76,66.25,66.79,68.92,45582,0,0
frankenphp,health,1,1925.8,51.86,51.41,52.31,53.34,55.65,57852,0,0
frankenphp,static,1,1882.6,53.06,52.69,53.59,54.67,56.5,56539,0,0
frankenphp,cpu,1,1858.0,53.75,53.3,54.22,55.34,59.98,55796,0,0
frankenphp,db,1,1327.5,75.29,74.9,76.02,77.18,79.68,39864,0,0
frankenphp,health,2,1909.4,52.36,52.05,52.88,53.89,55.58,57340,0,0
frankenphp,static,2,1850.8,53.97,53.57,54.57,55.66,58.26,55585,0,0
frankenphp,cpu,2,1827.1,54.67,54.24,55.25,56.27,58.39,54873,0,0
frankenphp,db,2,1284.5,77.74,77.31,78.43,79.67,81.66,38577,0,0
frankenphp,health,3,1945.8,51.33,50.91,51.79,52.81,54.58,58440,0,0
frankenphp,static,3,1929.5,51.86,51.42,52.33,53.38,57.31,57948,0,0
frankenphp,cpu,3,1899.2,52.6,52.2,53.13,54.18,55.84,57030,0,0
frankenphp,db,3,1315.8,75.89,75.38,76.59,77.88,79.67,39512,0,0
openswoole,health,1,1782.9,57.12,51.19,52.18,72.36,129.77,53546,0,0
openswoole,static,1,1760.3,57.79,52.03,52.76,72.77,131.06,52866,0,0
openswoole,cpu,1,1732.0,58.85,56.71,57.76,77.71,137.29,52017,0,0
openswoole,db,1,1285.4,77.79,70.93,71.52,78.59,157.27,38603,0,0
openswoole,health,2,1805.7,56.56,49.21,49.84,70.35,127.33,54214,0,0
openswoole,static,2,1750.0,58.13,52.14,53.02,72.97,130.95,52558,0,0
openswoole,cpu,2,1725.9,58.84,53.24,53.9,72.99,132.29,51838,0,0
openswoole,db,2,1255.1,79.66,76.5,77.62,81.64,162.49,37693,0,0
openswoole,health,3,1770.3,57.73,62.32,63.38,84.35,141.8,53186,0,0
openswoole,static,3,1774.0,57.47,50.08,50.55,71.68,130.24,53271,0,0
openswoole,cpu,3,1727.8,58.89,57.65,58.75,78.02,137.43,51886,0,0
openswoole,db,3,1250.7,80.58,89.32,90.84,95.57,176.37,37557,0,0
roadrunner,health,1,1291.1,84.38,57.02,83.75,173.43,261.7,38779,0,0
roadrunner,static,1,1247.3,85.65,60.09,92.66,167.99,274.24,37468,0,0
roadrunner,cpu,1,1235.3,81.47,62.76,103.94,120.47,176.53,37099,0,0
roadrunner,db,1,979.2,104.49,81.02,111.53,164.01,287.16,29408,0,0
roadrunner,health,2,1323.0,78.07,56.96,97.78,109.31,249.62,39736,0,0
roadrunner,static,2,1249.8,82.5,60.85,100.39,119.67,258.98,37530,0,0
roadrunner,cpu,2,1224.7,81.73,66.0,105.27,120.03,145.88,36778,0,0
roadrunner,db,2,960.9,104.06,83.54,126.69,159.41,166.77,28855,0,0
roadrunner,health,3,1282.8,83.66,57.43,94.03,147.8,269.12,38521,0,0
roadrunner,static,3,1234.0,82.42,65.33,101.92,119.86,244.32,37063,0,0
roadrunner,cpu,3,1208.8,83.82,64.32,105.54,122.28,226.25,36305,0,0
roadrunner,db,3,958.9,107.54,82.69,112.01,167.53,310.9,28798,0,0
swoole,health,1,1795.5,56.72,49.51,49.94,70.65,127.01,53911,0,0
swoole,static,1,1760.0,57.85,52.02,52.62,72.78,130.9,52866,0,0
swoole,cpu,1,1739.7,58.48,51.69,52.5,72.17,131.87,52245,0,0
swoole,db,1,1289.8,77.56,70.75,71.43,78.45,157.37,38737,0,0
swoole,health,2,1798.4,56.7,49.29,50.07,71.04,127.77,53996,0,0
swoole,static,2,1762.4,57.78,52.02,52.88,72.73,130.94,52933,0,0
swoole,cpu,2,1727.3,58.87,52.8,53.84,73.81,132.99,51867,0,0
swoole,db,2,1249.1,80.37,83.84,85.08,89.87,170.78,37512,0,0
swoole,health,3,1773.4,57.47,55.36,56.27,77.38,135.22,53262,0,0
swoole,static,3,1788.3,57.03,49.59,50.19,71.48,128.52,53697,0,0
swoole,cpu,3,1753.2,58.12,57.16,58.12,77.71,136.07,52651,0,0
swoole,db,3,1258.0,79.62,80.07,81.36,86.89,167.67,37779,0,0
