runtime,endpoint,runs,avg_requests_per_sec,stddev_requests_per_sec,min_requests_per_sec,max_requests_per_sec,avg_latency_ms,avg_p99_latency_ms,max_p99_latency_ms,total_timeout_errors
ephpm-worker,cpu,3,2215.72,15.45,2206.13,2233.54,45.09,58.18,65.20,0
ephpm-worker,db,3,1520.57,9.66,1512.67,1531.34,65.70,68.57,68.92,0
ephpm-worker,health,3,2267.90,24.90,2246.42,2295.19,44.08,57.54,64.47,0
ephpm-worker,static,3,2213.52,45.68,2168.92,2260.21,45.18,63.95,65.76,0
frankenphp,cpu,3,1861.45,36.17,1827.13,1899.23,53.67,58.07,59.98,0
frankenphp,db,3,1309.23,22.23,1284.46,1327.45,76.31,80.34,81.66,0
frankenphp,health,3,1927.02,18.24,1909.43,1945.85,51.85,55.27,55.65,0
frankenphp,static,3,1887.64,39.63,1850.78,1929.55,52.96,57.36,58.26,0
openswoole,cpu,3,1728.58,3.13,1725.93,1732.03,58.86,135.67,137.43,0
openswoole,db,3,1263.75,18.91,1250.73,1285.44,79.34,165.38,176.37,0
openswoole,health,3,1786.28,17.93,1770.27,1805.65,57.14,132.97,141.80,0
openswoole,static,3,1761.44,12.04,1750.01,1774.00,57.80,130.75,131.06,0
roadrunner,cpu,3,1222.94,13.30,1208.84,1235.26,82.34,182.89,226.25,0
roadrunner,db,3,966.36,11.20,958.90,979.24,105.36,254.94,310.90,0
roadrunner,health,3,1298.99,21.24,1282.81,1323.04,82.04,260.15,269.12,0
roadrunner,static,3,1243.72,8.54,1233.97,1249.84,83.52,259.18,274.24,0
swoole,cpu,3,1740.06,12.97,1727.26,1753.19,58.49,133.64,136.07,0
swoole,db,3,1265.66,21.42,1249.11,1289.85,79.18,165.27,170.78,0
swoole,health,3,1789.09,13.64,1773.43,1798.40,56.96,130.00,135.22,0
swoole,static,3,1770.26,15.69,1760.02,1788.33,57.55,130.12,130.94,0
