driver,connections,repeat,sessions_written,started_at,finished_at
array,1,1,0,2026-09-03T20:31:51Z,2026-09-03T20:32:16Z
array,2,1,0,2026-09-03T20:32:31Z,2026-09-03T20:32:56Z
array,4,1,0,2026-09-03T20:33:11Z,2026-09-03T20:33:36Z
array,8,1,0,2026-09-03T20:33:51Z,2026-09-03T20:34:16Z
array,16,1,0,2026-09-03T20:34:31Z,2026-09-03T20:34:56Z
array,32,1,0,2026-09-03T20:35:11Z,2026-09-03T20:35:36Z
array,64,1,0,2026-09-03T20:35:50Z,2026-09-03T20:36:15Z
array,100,1,0,2026-09-03T20:36:30Z,2026-09-03T20:36:55Z
file,1,1,12061,2026-09-03T20:37:41Z,2026-09-03T20:38:06Z
file,2,1,18367,2026-09-03T20:38:23Z,2026-09-03T20:38:48Z
file,4,1,18388,2026-09-03T20:39:04Z,2026-09-03T20:39:29Z
file,8,1,18260,2026-09-03T20:39:45Z,2026-09-03T20:40:10Z
file,16,1,18189,2026-09-03T20:40:27Z,2026-09-03T20:40:52Z
file,32,1,18516,2026-09-03T20:41:08Z,2026-09-03T20:41:33Z
file,64,1,18538,2026-09-03T20:41:50Z,2026-09-03T20:42:15Z
file,100,1,17879,2026-09-03T20:42:31Z,2026-09-03T20:42:56Z
database,1,1,4956,2026-09-03T20:43:44Z,2026-09-03T20:44:09Z
database,2,1,4637,2026-09-03T20:44:25Z,2026-09-03T20:44:50Z
database,4,1,5421,2026-09-03T20:45:07Z,2026-09-03T20:45:32Z
database,8,1,5046,2026-09-03T20:45:49Z,2026-09-03T20:46:14Z
database,16,1,5198,2026-09-03T20:46:30Z,2026-09-03T20:46:55Z
database,32,1,5326,2026-09-03T20:47:12Z,2026-09-03T20:47:37Z
database,64,1,4720,2026-09-03T20:47:54Z,2026-09-03T20:48:19Z
database,100,1,5185,2026-09-03T20:48:35Z,2026-09-03T20:49:00Z
redis,1,1,20376,2026-09-03T20:49:48Z,2026-09-03T20:50:13Z
redis,2,1,40370,2026-09-03T20:50:29Z,2026-09-03T20:50:54Z
redis,4,1,46106,2026-09-03T20:51:11Z,2026-09-03T20:51:36Z
redis,8,1,44593,2026-09-03T20:51:52Z,2026-09-03T20:52:17Z
redis,16,1,43786,2026-09-03T20:52:34Z,2026-09-03T20:52:59Z
redis,32,1,44492,2026-09-03T20:53:15Z,2026-09-03T20:53:40Z
redis,64,1,44408,2026-09-03T20:53:57Z,2026-09-03T20:54:22Z
redis,100,1,44285,2026-09-03T20:54:39Z,2026-09-03T20:55:04Z
file,1,2,12102,2026-09-03T20:55:50Z,2026-09-03T20:56:15Z
file,2,2,17740,2026-09-03T20:56:31Z,2026-09-03T20:56:56Z
file,4,2,18896,2026-09-03T20:57:13Z,2026-09-03T20:57:38Z
file,8,2,17990,2026-09-03T20:57:54Z,2026-09-03T20:58:19Z
file,16,2,18386,2026-09-03T20:58:35Z,2026-09-03T20:59:00Z
file,32,2,18357,2026-09-03T20:59:17Z,2026-09-03T20:59:42Z
file,64,2,18146,2026-09-03T20:59:58Z,2026-09-03T21:00:23Z
