driver,connections,repeat,rps,avg_ms,p50_ms,p90_ms,p99_ms,requests,timeouts,non2xx
array,1,1,991.0,1.01,0.98,1.08,1.45,24776,0,0
array,1,2,1017.3,0.98,0.96,1.04,1.36,25432,0,0
array,1,3,1011.5,0.99,0.96,1.04,1.36,25289,0,0
array,2,1,1978.2,1.01,0.98,1.1,1.43,49463,0,0
array,2,2,2045.9,0.98,0.96,1.04,1.29,51148,0,0
array,2,3,2038.8,0.98,0.96,1.05,1.31,50974,0,0
array,4,1,2360.3,1.69,1.68,1.77,2.03,59042,0,0
array,4,2,2345.9,1.7,1.67,1.78,2.48,58695,0,0
array,4,3,2330.0,1.71,1.68,1.79,2.49,58283,0,0
array,8,1,2314.8,3.45,3.41,3.59,4.86,57916,0,0
array,8,2,2307.5,3.46,3.43,3.59,4.3,57747,0,0
array,8,3,2294.4,3.48,3.43,3.6,4.93,57423,0,0
array,16,1,2317.5,4.31,4.27,4.45,5.91,58000,0,0
array,16,2,2303.6,4.34,4.32,4.49,4.83,57644,0,0
array,16,3,2290.8,4.36,4.32,4.5,5.95,57331,0,0
array,32,1,2308.0,12.99,12.86,13.27,18.52,57774,0,0
array,32,2,2245.8,13.36,12.85,13.88,19.27,56196,0,0
array,32,3,2297.9,13.07,12.93,13.42,15.64,57499,0,0
array,64,1,2276.8,26.35,25.97,26.75,37.71,56980,0,0
array,64,2,2309.9,25.96,25.82,26.51,29.15,57807,0,0
array,64,3,2303.4,26.04,25.85,26.55,35.72,57640,0,0
array,100,1,2318.2,43.1,43.02,43.87,45.48,58011,0,0
array,100,2,2353.1,42.44,42.39,43.31,45.01,58896,0,0
array,100,3,2273.8,43.95,43.67,44.72,50.67,56901,0,0
file,1,1,473.9,12.11,1.15,45.97,87.35,11859,0,0
file,1,2,475.6,11.87,1.15,44.63,87.72,11900,0,0
file,1,3,456.3,12.23,1.17,47.04,84.58,11416,0,0
file,2,1,725.9,22.49,1.16,84.53,145.07,18164,0,0
file,2,2,700.9,22.09,1.16,81.21,140.29,17538,0,0
file,2,3,685.2,21.8,1.2,80.39,138.29,17150,0,0
file,4,1,726.5,21.16,2.96,73.59,144.49,18183,0,0
file,4,2,746.8,21.52,2.9,76.08,148.04,18691,0,0
file,4,3,749.8,21.69,2.96,76.39,148.58,18766,0,0
file,8,1,721.1,23.7,7.01,72.77,149.53,18051,0,0
file,8,2,710.6,23.02,7.17,69.7,143.0,17785,0,0
file,8,3,718.0,24.54,7.0,77.15,152.6,17971,0,0
file,16,1,718.5,21.21,9.22,64.94,139.76,17979,0,0
file,16,2,726.3,22.15,9.07,67.42,153.64,18175,0,0
file,16,3,719.1,21.55,8.86,66.04,146.11,17999,0,0
file,32,1,731.5,49.44,29.13,118.69,191.33,18311,0,0
file,32,2,724.8,48.58,29.81,113.09,180.79,18140,0,0
file,32,3,712.5,50.67,29.06,120.84,206.71,17835,0,0
file,64,1,732.6,87.46,60.39,178.09,319.55,18333,0,0
file,64,2,716.3,88.39,65.15,169.49,281.33,17927,0,0
file,64,3,710.7,90.72,63.17,184.1,324.83,17791,0,0
file,100,1,706.2,147.07,122.71,254.09,409.15,17674,0,0
file,100,2,735.0,139.8,121.97,241.17,425.19,18398,0,0
file,100,3,719.1,143.76,120.68,256.18,406.39,17999,0,0
redis,1,1,806.3,1.24,1.21,1.31,1.6,20174,0,0
redis,1,2,815.0,1.22,1.2,1.3,1.55,20392,0,0
redis,1,3,799.2,1.25,1.23,1.34,1.63,19992,0,0
redis,2,1,1605.4,1.24,1.22,1.33,1.58,40167,0,0
redis,2,2,1607.9,1.24,1.22,1.34,1.62,40224,0,0
redis,2,3,1543.0,1.29,1.26,1.45,1.77,38609,0,0
redis,4,1,1834.4,2.18,2.15,2.31,2.63,45902,0,0
redis,4,2,1822.4,2.19,2.16,2.34,2.67,45603,0,0
redis,4,3,1783.5,2.24,2.2,2.41,2.9,44618,0,0
redis,8,1,1774.0,4.51,4.45,4.75,5.3,44387,0,0
redis,8,2,1768.4,4.52,4.46,4.77,5.41,44253,0,0
redis,8,3,1746.2,4.58,4.52,4.86,5.41,43692,0,0
redis,16,1,1741.4,5.74,5.69,6.0,6.56,43576,0,0
redis,16,2,1781.2,5.61,5.56,5.86,6.35,44573,0,0
redis,16,3,1775.2,5.63,5.59,5.9,6.37,44422,0,0
redis,32,1,1768.3,16.95,16.91,17.4,18.3,44266,0,0
redis,32,2,1784.5,16.81,16.72,17.21,18.39,44656,0,0
redis,32,3,1750.7,17.12,16.97,17.87,19.71,43812,0,0
redis,64,1,1765.5,33.95,33.9,34.61,36.14,44187,0,0
redis,64,2,1757.6,34.11,33.88,35.22,38.05,43991,0,0
redis,64,3,1729.6,34.67,34.28,36.19,39.36,43281,0,0
redis,100,1,1760.0,56.73,56.6,58.15,60.46,44053,0,0
redis,100,2,1768.3,56.48,56.19,57.89,63.05,44250,0,0
redis,100,3,1749.5,57.08,56.77,58.59,63.07,43785,0,0
database,1,1,190.0,5.46,4.18,10.86,15.84,4754,0,0
database,1,2,181.8,5.76,4.18,11.52,16.34,4547,0,0
database,1,3,144.0,7.98,4.37,15.31,37.22,3604,0,0
database,2,1,177.2,232.65,8.03,954.97,2670.0,4434,0,0
database,2,2,203.6,137.86,7.53,354.66,1990.0,5094,0,0
database,2,3,188.8,190.71,7.6,786.26,2290.0,4723,0,0
database,4,1,208.5,90.7,13.82,98.93,1640.0,5217,0,0
database,4,2,115.7,180.03,24.87,493.5,2640.0,2897,0,0
database,4,3,204.3,110.64,13.75,103.14,1970.0,5112,0,0
database,8,1,193.3,95.74,30.23,83.98,1950.0,4837,0,0
database,8,2,209.8,81.67,28.64,83.58,1640.0,5249,0,0
database,8,3,205.3,82.3,28.97,83.73,1700.0,5138,0,0
database,16,1,199.3,81.43,36.41,83.2,1400.0,4989,0,0
database,16,2,169.1,101.52,36.68,108.18,1750.0,4230,0,0
database,16,3,191.2,74.83,36.26,103.0,1160.0,4786,0,0
database,32,1,204.4,162.03,115.78,240.23,676.82,5116,0,0
database,32,2,176.6,186.83,116.28,323.0,1110.0,4419,0,0
database,32,3,175.7,187.48,116.02,335.89,1080.0,4399,0,0
database,64,1,180.0,381.82,252.93,815.61,1740.0,4508,0,0
database,64,2,217.7,284.91,235.85,454.83,691.52,5448,0,0
database,64,3,187.2,330.76,228.2,651.91,1270.0,4688,1,0
database,100,1,198.8,502.38,396.82,811.72,956.12,4976,0,0
database,100,2,144.8,691.04,591.64,1170.0,1230.0,3625,0,0
database,100,3,186.1,542.76,395.98,1000.0,1170.0,4658,0,0
