driver,connections,repeat,sessions_written,started_at,finished_at
array,1,1,0,2026-09-03T22:12:41Z,2026-09-03T22:13:06Z
array,2,1,0,2026-09-03T22:13:21Z,2026-09-03T22:13:46Z
array,100,1,0,2026-09-03T22:14:01Z,2026-09-03T22:14:26Z
file,1,1,10290,2026-09-03T22:15:02Z,2026-09-03T22:15:27Z
file,2,1,16358,2026-09-03T22:15:43Z,2026-09-03T22:16:08Z
file,100,1,16831,2026-09-03T22:16:25Z,2026-09-03T22:16:50Z
database,1,1,5810,2026-09-03T22:17:27Z,2026-09-03T22:17:52Z
database,2,1,3609,2026-09-03T22:18:09Z,2026-09-03T22:18:34Z
database,100,1,3251,2026-09-03T22:18:51Z,2026-09-03T22:19:16Z
redis,1,1,16818,2026-09-03T22:19:54Z,2026-09-03T22:20:19Z
redis,2,1,33290,2026-09-03T22:20:35Z,2026-09-03T22:21:00Z
redis,100,1,37737,2026-09-03T22:21:17Z,2026-09-03T22:21:42Z
