driver,connections,repeat,rps,avg_ms,p50_ms,p90_ms,p99_ms,requests,timeouts,non2xx
array,1,1,808.6,1.23,1.21,1.35,1.68,20227,0,0
array,2,1,1610.2,1.24,1.21,1.34,1.83,40288,0,0
array,100,1,1898.2,52.61,52.38,54.18,55.89,47497,0,0
file,1,1,403.2,12.26,1.39,46.51,86.75,10089,0,0
file,2,1,645.4,22.28,1.44,84.61,146.48,16155,0,0
file,100,1,660.4,155.62,127.82,276.89,443.74,16530,0,0
redis,1,1,664.4,1.5,1.47,1.63,2.01,16617,0,0
redis,2,1,1322.7,1.51,1.48,1.62,2.08,33088,0,0
redis,100,1,1495.6,66.74,66.68,68.6,70.32,37437,0,0
database,1,1,224.1,4.54,4.18,4.91,9.94,5608,0,0
database,2,1,136.1,143.91,8.03,498.12,1650.0,3406,0,0
database,100,1,117.9,834.63,893.85,1140.0,1220.0,2952,0,0
